  8  68 3 0 14
 18  68 3 0 14
 28  68 3 0 14
 18  78 3 0 14
 18  88 3 0 14
 18  98 3 0 14
 18 108 3 0 14
  8 108 3 0 14
 28 108 3 0 14
 60  68 2 1 13
 60  78 2 1 13
 60  88 2 1 13
 60  98 2 1 13
 60 108 2 1 13
 70 108 2 1 13
 80 108 2 1 13
110  68 1 1 11
120  68 1 1 11
100  78 1 1 11
100  88 1 1 11
100  98 1 1 11
110 108 1 1 11
120 108 1 1 11
130  78 1 1 11
130  88 1 1 11
130  98 1 1 11
150  68 0 0 9
156  78 0 0 9
162  88 0 0 9
168  98 0 0 9
174 108 0 0 9
180  98 0 0 9
186  88 0 0 9
192  78 0 0 9
198  68 0 0 9
218  68 1 1 8
218  78 1 1 8
218  88 1 1 8
218  98 1 1 8
218 108 1 1 8
228  68 1 1 8
238  68 1 1 8
228 108 1 1 8
238 108 1 1 8
228  88 1 1 8
270  68 2 0 10
276  78 2 0 10
282  88 2 0 10
288  98 2 0 10
294 108 2 0 10
300  98 2 0 10
306  88 2 0 10
312  78 2 0 10
318  68 2 0 10
338 108 1 1 7
358 108 3 1 12
364  98 3 1 12
370  88 3 1 12
376  78 3 1 12
382  68 3 1 12
388  78 3 1 12
394  88 3 1 12
400  98 3 1 12
406 108 3 1 12
377  97 3 1 12
388  97 3 1 12
/    I love van anh
// made by quangxeng
// 2:47 AM 3/1/2010
 56  12  56  24
 56  30  56  42
 58  47  61  54
 61  55  58  61
 41 155  27 169
271 155 340 223
220 191 253 223
236 194 237 204
245 194 245 204
 62 155  29 187
131 102 131 114
126 138 129 140
133 148 135 150
139 152 142 152
112 155 126 169
137 181 143 181
145 180 150 180
285  12 285  24
238  73 244  73
246  72 251  72
280  48 280  60
259 121 259 132
211 102 211 114
215 102 215 114
 56  68  56  69
 56  72  56  96
 70  84  70  96
 74  84  74  96
217 174 217 186
197 160 197 168
271 209 285 223
 81 209  67 223
 43 209  58 209
 84 156  84 168
 22 173   8 187
 98 191  84 205
109  76 118  76
 59 101  63 108
 63 109  60 116
261 195 265 200
273 195 277 200
290 213 294 218
276 193 277 194
278 192 279 193
293 211 294 212
295 210 296 211
277  67 271  79
270  85 264  97
262 104 261 106
228  87 232  92
146  72 151  72
154  73 160  73
186  95 200  95
 81 175  75 187
 74 193  68 208
 65 211  59 223
185 174 173 186
 50 139  44 151
 58 121  52 133
285  31 279  43
130 120 130 124
129 125 129 127
128 128 128 129
128 129 125 132
160 211 154 223
152 211 146 223
169 193 163 205
263 140 266 149
 87  86  90  95
 95 105  95 113
285  31 279  43
268  66 266  68
265  66 263  68
254  70 255  68
257  70 258  68
259  70 261  68
235 139 229 151
225 157 219 168
256 140 253 149
240 176 239 178
249 177 247 185
251 176 255 185
237 186 236 189
218 121 212 133
211 139 205 151
201 156 196 161
195 161 193 163
192 163 190 164
188  85 198  85
132 174 134 176
131 174 132 175
259 114 258 116
211 181 211 182
188 175 189 174
189 174 190 174
191 173 199 173
200 174 201 174
201 174 202 175
70 157 64 169
62 175 56 187
55 193 46 204
95 123 93 131
98 122 101 131
84 123 88 128
84 87 82 95
85 104 82 113
69 112 71 114
76 112 79 131
73 123 71 131
103 140 107 148
102 140 99 144
69 139 63 151
81 140 84 149
90 141 94 146
74 140 71 149
67 50 66 52
70 50 69 52
276 48 276 52
275 53 275 55
274 56 274 57
274 57 274 60
155 96 154 98
158 101 160 102
157 90 162 90
165 91 171 91
176 94 184 94
177 86 183 86
174 96 173 98
169 193 163 205
160 211 154 223
152 211 146 223
155 194 160 194
160 194 157 205
141 197 146 197
146 198 141 205
143 199 143 202
114 186 113 188
117 186 116 188
124 191 126 192
159 176 158 178
162 176 161 179
170 172 165 175
172 187 172 184
173 183 173 181
174 180 174 179
175 178 177 178
177 178 181 182
122 212 121 214
125 212 124 214
205 87 209 91
209 91 209 92
208 85 209 96
210 84 211 85
215 96 214 98
218 96 217 98
220 98 223 98
222 101 223 102
221 103 222 104
168 76 170 78
175 176 177 178
190 101 191 102
189 103 190 104
194 101 195 102
193 103 194 104
175 76 177 78
187 104 186 105
176 102 177 102
177 103 178 103
178 103 179 104
182 102 182 103
182 103 183 104
183 104 184 104
184 104 184 102
184 102 183 101
198 104 199 103
199 103 199 101
198 101 198 102
201 104 202 103
202 103 202 101
200 101 200 102
219 104 218 106
190 80 193 80
195 80 198 80
182 78 181 80
185 78 184 80
188 78 187 80
201 78 200 80
204 78 203 80
213 78 212 80
216 78 215 80
219 78 218 80
206 78 207 78
221 78 222 78
100 186 99 188
73 66 73 70
72 71 72 74
71 75 71 77
69 77 73 77
74 76 76 76
76 72 76 73
77 74 77 75
78 76 78 78
98 71 104 71
98 76 104 76
110 68 116 68
81 78 85 74
102 168 102 164
101 163 101 162
100 161 100 160
100 160 98 158
103 163 103 162
104 161 104 160
104 160 106 158
109 155 110 156
107 157 108 158
124 67 125 68
125 65 126 66
128 67 129 68
129 65 130 66
132 68 134 66
135 68 137 66
141 68 140 70
144 68 143 70
119 80 122 80
81 58 83 60
96 62 99 62
101 62 104 62
78 60 77 62
88 60 87 62
91 60 90 62
94 60 93 62
107 78 106 80
96 72 96 74
95 75 95 76
95 76 92 79
92 79 91 79
80 68 81 70
83 67 84 69
87 68 87 70
86 71 86 72
86 72 85 73
89 72 91 75
92 71 83 73
93 84 94 84
94 85 95 85
95 85 96 86
105 84 106 84
106 85 107 85
107 85 108 86
116 86 116 87
116 87 115 88
112 86 113 85
113 85 113 84
113 84 112 83
112 83 111 84
111 84 111 85
126 84 127 84
127 85 128 85
128 86 129 87
118 85 118 84
118 84 119 83
119 83 120 83
120 83 121 84
121 84 121 85
121 85 122 85
122 85 123 84
123 84 123 83
76 102 77 102
77 103 78 103
78 103 79 104
103 176 108 181
108 181 104 183
0 0 0 0
